state,2016_polls_margin,mean_error,2016_polls_adjusted,2016_results_margin,2016_error_raw,2016_error_adjusted,lower_error,pred_raw,pred_adjusted,result
AL,20.0,-4.025702075702076,24.025702075702075,27.73,-7.73,-3.7042979242979257,adjusted,R,R,R
AK,4.133333333333333,-5.12,9.253333333333334,14.73,-10.596666666666668,-5.476666666666667,adjusted,R,R,R
AZ,1.9268292682926829,-2.514004127966976,4.440833396259659,3.5,-1.5731707317073171,0.9408333962596593,adjusted,R,R,R
AR,21.2,-4.1927207977208,25.3927207977208,26.92,-5.720000000000002,-1.5272792022792032,adjusted,R,R,R
CA,-23.09375,3.480112781954887,-26.573862781954887,-30.11,7.016249999999999,3.5361372180451127,raw,D,D,D
CO,-4.829268292682927,2.281397353510227,-7.110665646193153,-4.91,0.08073170731707346,-2.200665646193153,raw,D,D,D
CT,-8.75,3.1266936572199735,-11.876693657219974,-13.64,4.890000000000001,1.7633063427800266,raw,D,D,D
DE,-15.5,3.472777777777777,-18.97277777777778,-11.37,-4.130000000000001,-7.60277777777778,raw,D,D,D
DC,,11.62,,-86.77,,,,,,D
FL,-2.258309859154929,-0.4651156089131258,-1.7931942502418032,1.2,-3.4583098591549293,-2.993194250241803,adjusted,D,D,R
GA,2.8461538461538463,-0.015751633986927988,2.8619054801407744,5.13,-2.2838461538461536,-2.2680945198592255,adjusted,R,R,R
HI,,10.791666666666666,,-32.18,,,,,,D
ID,19.5,-0.8722222222222223,20.372222222222224,31.77,-12.27,-11.397777777777776,adjusted,R,R,R
IL,-15.352941176470589,1.4655555555555566,-16.818496732026144,-17.06,1.70705882352941,0.24150326797385446,raw,D,D,D
IN,8.714285714285714,0.29067599067599187,8.423609723609722,19.17,-10.455714285714288,-10.74639027639028,raw,R,R,R
IA,-0.2307692307692307,0.3516666666666657,-0.5824358974358964,9.41,-9.64076923076923,-9.992435897435897,raw,D,D,R
KS,10.1,-2.05037037037037,12.15037037037037,20.6,-10.500000000000002,-8.449629629629632,adjusted,R,R,R
KY,15.2,-3.9348840048840046,19.134884004884004,29.84,-14.64,-10.705115995115996,adjusted,R,R,R
LA,14.0,-1.5235897435897432,15.523589743589744,19.64,-5.640000000000001,-4.116410256410257,adjusted,R,R,R
ME,-6.588235294117647,2.3817359924026595,-8.969971286520305,-2.96,-3.628235294117647,-6.009971286520305,raw,D,D,D
MD,-33.666666666666664,5.599259259259262,-39.26592592592593,-26.42,-7.246666666666663,-12.845925925925926,raw,D,D,D
MA,-27.272727272727277,5.252031827223644,-32.52475909995092,-27.2,-0.07272727272727764,-5.324759099950921,raw,D,D,D
MI,-7.306451612903226,3.9304732058065386,-11.236924818709765,0.23,-7.536451612903226,-11.466924818709765,raw,D,D,R
MN,-7.0,-0.3192418300653584,-6.680758169934641,-1.52,-5.48,-5.160758169934642,adjusted,D,D,D
MS,,0.7911111111111117,,17.83,,,,,,R
MO,7.821428571428571,-2.0124378952122863,9.833866466640858,18.64,-10.81857142857143,-8.806133533359143,adjusted,R,R,R
MT,15.8,-0.5654106280193248,16.365410628019326,20.42,-4.620000000000001,-4.054589371980676,adjusted,R,R,R
NE,27.0,-6.329166666666667,33.329166666666666,25.05,1.9499999999999993,8.279166666666665,adjusted,R,R,R
NV,-0.4039999999999999,3.7204816017316023,-4.124481601731603,-2.42,2.016,-1.7044816017316027,raw,D,D,D
NH,-5.2615384615384615,0.88925502489397,-6.150793486432431,-0.37,-4.891538461538461,-5.780793486432431,raw,D,D,D
NJ,-11.533333333333331,2.72703783854679,-14.260371171880122,-14.1,2.566666666666668,-0.16037117188012218,raw,D,D,D
NM,-6.555555555555555,1.6643527738264579,-8.219908329382013,-8.21,1.6544444444444455,-0.009908329382012582,raw,D,D,D
NY,-20.26923076923077,4.512108262108262,-24.78133903133903,-22.49,2.2207692307692284,-2.2913390313390316,raw,D,D,D
NC,-1.6881720430107527,-1.9396790898739267,0.25150704686317393,3.66,-5.348172043010753,-3.408492953136826,adjusted,D,R,R
ND,11.0,-4.224444444444445,15.224444444444444,35.73,-24.729999999999997,-20.505555555555553,adjusted,R,R,R
OH,-0.4320987654320987,0.26624614959743376,-0.6983449150295324,8.13,-8.562098765432099,-8.828344915029533,raw,D,D,R
OK,22.25,-3.140617283950616,25.390617283950615,37.08,-14.829999999999998,-11.689382716049384,adjusted,R,R,R
OR,-9.090909090909092,2.818726467331119,-11.909635558240211,-10.98,1.8890909090909087,-0.9296355582402107,raw,D,D,D
PA,-5.554347826086956,0.7698722860791829,-6.324220112166139,0.72,-6.274347826086956,-7.044220112166139,raw,D,D,R
RI,-11.5,3.5199999999999996,-15.02,-15.51,4.01,0.4900000000000002,raw,D,D,D
SC,6.545454545454546,-5.127692307692308,11.673146853146854,14.27,-7.724545454545454,-2.596853146853146,adjusted,R,R,R
SD,10.666666666666666,-5.576666666666665,16.243333333333332,29.79,-19.123333333333335,-13.546666666666667,adjusted,R,R,R
TN,11.333333333333334,-7.371292232671543,18.70462556600488,26.01,-14.676666666666668,-7.305374433995123,adjusted,R,R,R
TX,6.9,-2.921666666666667,9.821666666666667,8.99,-2.09,0.831666666666667,adjusted,R,R,R
UT,7.888888888888889,-1.8788888888888877,9.767777777777777,18.08,-10.191111111111109,-8.312222222222221,adjusted,R,R,R
VT,-23.33333333333333,8.063333333333333,-31.39666666666666,-26.41,3.0766666666666715,-4.986666666666661,raw,D,D,D
VA,-7.238095238095238,0.2747187060478204,-7.512813944143058,-5.32,-1.9180952380952379,-2.192813944143058,raw,D,D,D
WA,-14.333333333333334,2.607734487734487,-16.941067821067822,-15.71,1.376666666666667,-1.2310678210678212,raw,D,D,D
WV,26.0,-8.903103448275862,34.903103448275864,42.07,-16.07,-7.166896551724136,adjusted,R,R,R
WI,-7.292682926829267,2.4820917842445627,-9.77477471107383,0.77,-8.062682926829266,-10.54477471107383,raw,D,D,R
WY,36.5,-4.615,41.115,46.29,-9.79,-5.174999999999997,adjusted,R,R,R
