state,2016_polls_margin
AL,20.0
AK,4.133333333333333
AZ,1.9268292682926829
AR,21.2
CA,-23.09375
CO,-4.829268292682927
CT,-8.75
DE,-15.5
FL,-2.2583098591549295
GA,2.8461538461538463
ID,19.5
IL,-15.352941176470589
IN,8.714285714285714
IA,-0.23076923076923078
KS,10.1
KY,15.2
LA,14.0
ME,-6.588235294117647
MD,-33.666666666666664
MA,-27.272727272727273
MI,-7.306451612903226
MN,-7.0
MO,7.821428571428571
MT,15.799999999999999
NE,27.0
NV,-0.4039999999999999
NH,-5.2615384615384615
NJ,-11.533333333333333
NM,-6.555555555555555
NY,-20.26923076923077
NC,-1.6881720430107527
ND,11.0
OH,-0.43209876543209874
OK,22.25
OR,-9.090909090909092
PA,-5.554347826086956
RI,-11.5
SC,6.545454545454546
SD,10.666666666666666
TN,11.333333333333334
TX,6.9
UT,7.888888888888889
VT,-23.333333333333332
VA,-7.238095238095238
WA,-14.333333333333334
WV,26.0
WI,-7.2926829268292686
WY,36.5
