state,2016_winner,2016_margin_percentage,2018_winner,2018_margin_percentage,flip,trend_party,trend_percentage
AL,R,0.2773,R,0.1789571027083038,0,D,0.09834289729169618
AK,R,0.1473,R,0.0658477633733334,0,D,0.08145223662666659
AZ,R,0.035,D,0.0169314090215993,1,D,0.051931409021599303
AR,R,0.2692,R,0.2736551752056116,0,R,0.004455175205611617
CA,D,0.3011,D,0.3313260052384492,0,D,0.030226005238449205
CO,D,0.0491,D,0.1047926593943213,0,D,0.055692659394321296
CT,D,0.1364,D,0.2383085182866021,0,D,0.1019085182866021
DE,D,0.1137,D,0.2890793990990454,0,D,0.1753793990990454
DC,D,0.8676999999999999,D,0.8280142851522715,0,R,0.039685714847728426
FL,R,0.012,R,0.0524375501675146,0,R,0.0404375501675146
GA,R,0.0513,R,0.0454286882734515,0,D,0.005871311726548499
HI,D,0.3218,D,0.5246042706338994,0,D,0.2028042706338994
ID,R,0.3177,R,0.2697390066540882,0,D,0.047960993345911807
IL,D,0.1705999999999999,D,0.2209595603590013,0,D,0.05035956035900141
IN,R,0.1917,R,0.1098546256795169,0,D,0.08184537432048311
IA,R,0.0941,D,0.0397509433045126,1,D,0.1338509433045126
KS,R,0.206,R,0.094075911958428,0,D,0.11192408804157199
KY,R,0.2984,R,0.2053302399416994,0,D,0.09306976005830059
LA,R,0.1964,R,0.1934358168223454,0,D,0.0029641831776545946
ME,D,0.0296,D,0.1500038497074222,0,D,0.1204038497074222
MD,D,0.2642,D,0.3302918622533333,0,D,0.0660918622533333
MA,D,0.272,D,0.5817291267367141,0,D,0.30972912673671404
MI,R,0.0023,D,0.0773927763308232,1,D,0.0796927763308232
MN,D,0.0152,D,0.1145659075272497,0,D,0.09936590752724969
MS,R,0.1783,R,0.0771027465030999,0,D,0.10119725349690009
MO,R,0.1864,R,0.125291255050316,0,D,0.06110874494968402
MT,R,0.2042,R,0.0463442243681369,0,D,0.1578557756318631
NE,R,0.2505,R,0.2405845787214493,0,D,0.00991542127855069
NV,D,0.0242,D,0.05364945346148,0,D,0.02944945346148
NH,D,0.0037,D,0.1061999645906627,0,D,0.1024999645906627
NJ,D,0.141,D,0.2123941869332177,0,D,0.07139418693321772
NM,D,0.0821,D,0.2009559923324453,0,D,0.11885599233244529
NY,D,0.2249,D,0.3587196605454807,0,D,0.13381966054548072
NC,R,0.0366,R,0.020467738879914,0,D,0.016132261120086002
ND,R,0.3572999999999999,R,0.2462927484667155,0,D,0.11100725153328439
OH,R,0.0813,R,0.0473518039160685,0,D,0.0339481960839315
OK,R,0.3707999999999999,R,0.2562519298698038,0,D,0.11454807013019613
OR,D,0.1098,D,0.1942368830392835,0,D,0.0844368830392835
PA,R,0.0072,D,0.1027216714419736,1,D,0.1099216714419736
RI,D,0.1551,D,0.3020172524646378,0,D,0.1469172524646378
SC,R,0.1427,R,0.0989614413453056,0,D,0.04373855865469439
SD,R,0.2979,R,0.24306698614439,0,D,0.054833013855609986
TN,R,0.2601,R,0.2005742134544296,0,D,0.05952578654557039
TX,R,0.0899,R,0.0344528904356951,0,D,0.055447109564304896
UT,R,0.1808,R,0.231160677468822,0,R,0.050360677468822
VT,D,0.2641,D,0.432525481646241,0,D,0.168425481646241
VA,D,0.0532,D,0.1383531579358828,0,D,0.0851531579358828
WA,D,0.1571,D,0.277926743352225,0,D,0.12082674335222501
WV,R,0.4207,R,0.177473351661185,0,D,0.24322664833881502
WI,R,0.0077,D,0.0759253064969827,1,D,0.0836253064969827
WY,R,0.4629,R,0.3381947377574598,0,D,0.1247052622425402
