state,2020_polls_margin,error_mean,2020_polls_adjusted,2020_results_margin,2020_error_raw,2020_error_adjusted,lower_error,pred_raw,pred_adjusted,result
AL,20.27777777777778,-4.951776556776557,25.229554334554336,25.46,-5.182222222222222,-0.23044566544566436,adjusted,R,R,R
AK,6.533333333333333,-6.945555555555555,13.47888888888889,10.06,-3.5266666666666673,3.4188888888888886,adjusted,R,R,R
AZ,-2.8081632653061224,-2.2787957789020616,-0.5293674864040607,-0.31,-2.4981632653061223,-0.21936748640406073,adjusted,D,D,D
AR,24.22222222222222,-4.5745405982906,28.79676282051282,27.62,-3.3977777777777796,1.1767628205128204,adjusted,R,R,R
CA,-28.84375,4.364147086466165,-33.20789708646616,-29.16,0.31625000000000014,-4.047897086466161,raw,D,D,D
CO,-12.514285714285714,1.7312309419619385,-14.245516656247652,-13.5,0.9857142857142858,-0.7455166562476521,raw,D,D,D
CT,-23.307692307692307,3.56752024291498,-26.875212550607287,-20.07,-3.2376923076923063,-6.805212550607287,raw,D,D,D
DE,-25.55555555555556,0.9385185185185178,-26.494074074074078,-18.97,-6.585555555555562,-7.524074074074079,raw,D,D,D
DC,-78.16666666666667,11.62,-89.78666666666668,-86.75,8.583333333333329,-3.036666666666676,raw,D,D,D
FL,-2.8596491228070176,-1.2134141714735767,-1.6462349513334409,3.36,-6.219649122807017,-5.0062349513334405,adjusted,D,D,R
GA,-0.3354838709677419,-0.5827752639517344,0.2472913929839925,-0.24,-0.09548387096774191,0.4872913929839925,adjusted,D,R,D
HI,-30.33333333333333,10.791666666666666,-41.12499999999999,-29.46,-0.8733333333333277,-11.664999999999992,raw,D,D,D
ID,22.0,-3.7216666666666667,25.721666666666668,30.77,-8.77,-5.048333333333332,adjusted,R,R,R
IL,-17.272727272727273,1.52593137254902,-18.798658645276294,-16.99,-0.28272727272727494,-1.8086586452762958,raw,D,D,D
IN,11.666666666666666,-2.395921578421578,14.062588245088245,16.07,-4.403333333333334,-2.0074117549117556,adjusted,R,R,R
IA,1.3220338983050848,-2.1464423076923085,3.4684762059973933,8.2,-6.8779661016949145,-4.731523794002606,adjusted,R,R,R
KS,9.19047619047619,-4.162777777777778,13.353253968253968,14.64,-5.449523809523811,-1.2867460317460324,adjusted,R,R,R
KY,17.869565217391305,-6.611163003663004,24.480728221054306,25.94,-8.070434782608697,-1.4592717789456948,adjusted,R,R,R
LA,18.58333333333333,-2.5526923076923076,21.136025641025636,18.61,-0.026666666666670835,2.5260256410256368,adjusted,R,R,R
ME,-12.838709677419354,0.879243170772583,-13.717952848191937,-9.07,-3.768709677419354,-4.647952848191936,raw,D,D,D
MD,-31.53846153846154,2.3877777777777807,-33.92623931623932,-33.21,1.6715384615384608,-0.7162393162393172,raw,D,D,D
MA,-36.61538461538461,3.9208420522359133,-40.536226667620525,-33.46,-3.1553846153846123,-7.076226667620524,raw,D,D,D
MI,-6.998765432098765,1.0637420011290972,-8.062507433227863,-2.78,-4.218765432098765,-5.282507433227863,raw,D,D,D
MN,-8.714285714285714,-1.609431372549019,-7.1048543417366945,-7.11,-1.6042857142857132,0.005145658263305819,adjusted,D,D,D
MS,16.615384615384617,0.7911111111111117,15.824273504273505,16.55,0.06538461538461604,-0.7257264957264962,raw,R,R,R
MO,7.136363636363637,-4.213971278552072,11.35033491491571,15.39,-8.253636363636364,-4.039665085084291,adjusted,R,R,R
MT,7.666666666666667,-1.5790579710144939,9.24572463768116,16.37,-8.703333333333333,-7.124275362318841,adjusted,R,R,R
