state,month,year,dem_percentage,gop_percentage,winner,margin
AL,Nov,2020,36.0,62.0,R,26.0
AL,Nov,2020,38.0,55.0,R,17.0
AL,Nov,2020,38.0,58.0,R,20.0
AL,Oct,2020,39.0,58.0,R,19.0
AL,Oct,2020,37.0,61.0,R,24.0
AL,Oct,2020,37.0,56.0,R,19.0
AL,Oct,2020,38.0,55.0,R,17.0
AL,Oct,2020,37.0,57.0,R,20.0
AL,Sep,2020,39.0,59.0,R,20.0
AL,Aug,2020,33.0,65.0,R,32.0
AL,Aug,2020,44.0,48.0,R,4.0
AL,Aug,2020,36.0,58.0,R,22.0
AL,Jul,2020,35.0,63.0,R,28.0
AL,Jul,2020,41.0,55.0,R,14.0
AL,Jun,2020,35.0,63.0,R,28.0
AL,May,2020,39.0,53.0,R,14.0
AL,Feb,2020,38.0,58.0,R,20.0
AL,Jan,2020,38.0,59.0,R,21.0
AK,Nov,2020,45.0,54.0,R,9.0
AK,Oct,2020,43.0,52.0,R,9.0
AK,Oct,2020,44.0,54.0,R,10.0
AK,Oct,2020,45.0,50.0,R,5.0
AK,Oct,2020,39.0,45.0,R,6.0
AK,Oct,2020,46.0,49.0,R,3.0
AK,Oct,2020,46.0,50.0,R,4.0
AK,Sep,2020,45.0,53.0,R,8.0
AK,Sep,2020,46.0,47.0,R,1.0
AK,Aug,2020,42.0,57.0,R,15.0
AK,Jul,2020,43.0,55.0,R,12.0
AK,Jul,2020,44.0,50.0,R,6.0
AK,Jul,2020,45.0,48.0,R,3.0
AK,Jul,2020,48.0,49.0,R,1.0
AK,Jun,2020,46.0,52.0,R,6.0
AK,Aug,2019,40.0,45.0,R,5.0
AZ,Nov,2020,50.0,47.0,D,3.0
AZ,Nov,2020,49.0,47.0,D,2.0
AZ,Nov,2020,50.0,48.0,D,2.0
AZ,Nov,2020,52.0,46.0,D,6.0
AZ,Nov,2020,50.0,47.0,D,3.0
AZ,Nov,2020,48.0,48.0,E,0.0
AZ,Nov,2020,51.0,46.0,D,5.0
AZ,Nov,2020,50.0,47.0,D,3.0
AZ,Oct,2020,48.1,50.4,R,2.299999999999997
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,45.9,45.3,D,0.6000000000000014
AZ,Oct,2020,49.0,43.0,D,6.0
AZ,Oct,2020,45.0,48.0,R,3.0
AZ,Oct,2020,50.0,46.0,D,4.0
AZ,Oct,2020,45.0,49.0,R,4.0
AZ,Oct,2020,50.0,46.0,D,4.0
AZ,Oct,2020,48.0,44.0,D,4.0
AZ,Oct,2020,46.5,49.0,R,2.5
AZ,Oct,2020,52.0,46.0,D,6.0
AZ,Oct,2020,47.0,47.0,E,0.0
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,52.0,44.0,D,8.0
AZ,Oct,2020,49.0,43.0,D,6.0
AZ,Oct,2020,49.0,46.0,D,3.0
AZ,Oct,2020,50.0,45.0,D,5.0
AZ,Oct,2020,52.0,45.0,D,7.0
AZ,Oct,2020,50.0,47.0,D,3.0
AZ,Oct,2020,46.0,46.0,E,0.0
AZ,Oct,2020,50.0,46.0,D,4.0
AZ,Oct,2020,49.0,46.0,D,3.0
AZ,Oct,2020,47.0,48.0,R,1.0
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,51.0,45.0,D,6.0
AZ,Oct,2020,47.0,46.0,D,1.0
AZ,Oct,2020,49.0,44.0,D,5.0
AZ,Oct,2020,45.0,47.0,R,2.0
AZ,Oct,2020,47.0,42.0,D,5.0
AZ,Oct,2020,49.0,45.0,D,4.0
AZ,Oct,2020,49.0,47.0,D,2.0
AZ,Oct,2020,50.0,46.0,D,4.0
AZ,Oct,2020,50.0,44.0,D,6.0
AZ,Oct,2020,51.0,44.0,D,7.0
AZ,Oct,2020,49.0,47.0,D,2.0
AZ,Oct,2020,48.0,45.0,D,3.0
AZ,Oct,2020,49.0,46.0,D,3.0
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,44.0,48.0,R,4.0
AZ,Oct,2020,49.0,45.0,D,4.0
AZ,Oct,2020,50.0,47.0,D,3.0
AZ,Oct,2020,49.0,43.0,D,6.0
AZ,Oct,2020,48.0,46.0,D,2.0
AZ,Oct,2020,48.0,45.0,D,3.0
AZ,Oct,2020,48.0,48.0,E,0.0
AZ,Oct,2020,48.0,43.0,D,5.0
AZ,Oct,2020,46.0,45.0,D,1.0
AZ,Oct,2020,51.0,45.0,D,6.0
AZ,Oct,2020,49.0,41.0,D,8.0
AZ,Oct,2020,50.0,46.0,D,4.0
AZ,Oct,2020,45.0,46.0,R,1.0
AZ,Sep,2020,50.0,46.0,D,4.0
AZ,Sep,2020,51.0,47.0,D,4.0
AZ,Sep,2020,49.0,45.0,D,4.0
AZ,Sep,2020,47.0,47.0,E,0.0
AZ,Sep,2020,49.0,45.0,D,4.0
AZ,Sep,2020,50.0,46.0,D,4.0
AZ,Sep,2020,47.0,44.0,D,3.0
AZ,Sep,2020,45.0,46.0,R,1.0
AZ,Sep,2020,49.0,43.0,D,6.0
AZ,Sep,2020,48.0,49.0,R,1.0
AZ,Sep,2020,53.0,42.0,D,11.0
AZ,Sep,2020,49.0,47.0,D,2.0
AZ,Sep,2020,47.0,46.0,D,1.0
AZ,Sep,2020,47.0,42.0,D,5.0
AZ,Sep,2020,48.0,44.0,D,4.0
AZ,Sep,2020,48.0,46.0,D,2.0
AZ,Sep,2020,47.0,47.0,E,0.0
AZ,Sep,2020,49.0,40.0,D,9.0
AZ,Sep,2020,49.0,46.0,D,3.0
AZ,Sep,2020,45.0,40.0,D,5.0
AZ,Sep,2020,50.0,48.0,D,2.0
AZ,Sep,2020,47.0,44.0,D,3.0
AZ,Sep,2020,52.0,42.0,D,10.0
AZ,Sep,2020,48.0,47.0,D,1.0
AZ,Sep,2020,49.0,46.0,D,3.0
AZ,Sep,2020,49.0,45.0,D,4.0
AZ,Sep,2020,48.0,43.0,D,5.0
AZ,Sep,2020,49.0,40.0,D,9.0
AZ,Sep,2020,49.0,39.0,D,10.0
AZ,Aug,2020,47.0,48.0,R,1.0
AZ,Aug,2020,48.0,49.0,R,1.0
AZ,Aug,2020,47.0,52.0,R,5.0
AZ,Aug,2020,52.0,42.0,D,10.0
AZ,Aug,2020,49.0,47.0,D,2.0
AZ,Aug,2020,47.0,38.0,D,9.0
AZ,Aug,2020,45.0,47.0,R,2.0
AZ,Aug,2020,53.0,47.0,D,6.0
AZ,Aug,2020,45.0,44.0,D,1.0
AZ,Aug,2020,45.0,46.0,R,1.0
AZ,Aug,2020,49.0,45.0,D,4.0
AZ,Aug,2020,48.0,51.0,R,3.0
AZ,Aug,2020,45.0,43.0,D,2.0
AZ,Aug,2020,47.0,44.0,D,3.0
AZ,Jul,2020,47.0,51.0,R,4.0
AZ,Jul,2020,47.0,45.0,D,2.0
AZ,Jul,2020,49.0,42.0,D,7.0
AZ,Jul,2020,49.0,43.0,D,6.0
AZ,Jul,2020,49.0,45.0,D,4.0
AZ,Jul,2020,46.0,38.0,D,8.0
AZ,Jul,2020,50.0,45.0,D,5.0
AZ,Jul,2020,49.0,45.0,D,4.0
AZ,Jul,2020,49.0,45.0,D,4.0
AZ,Jul,2020,47.0,45.0,D,2.0
AZ,Jul,2020,51.0,45.0,D,6.0
AZ,Jul,2020,46.0,46.0,E,0.0
AZ,Jul,2020,49.0,44.0,D,5.0
AZ,Jul,2020,48.0,42.0,D,6.0
AZ,Jun,2020,46.0,52.0,R,6.0
AZ,Jun,2020,47.0,45.0,D,2.0
AZ,Jun,2020,47.0,43.0,D,4.0
AZ,Jun,2020,51.0,44.0,D,7.0
AZ,Jun,2020,45.0,49.0,R,4.0
AZ,Jun,2020,43.0,39.0,D,4.0
AZ,Jun,2020,48.0,41.0,D,7.0
AZ,Jun,2020,49.0,45.0,D,4.0
AZ,Jun,2020,47.0,44.0,D,3.0
AZ,Jun,2020,45.0,44.0,D,1.0
AZ,Jun,2020,45.0,47.0,R,2.0
AZ,Jun,2020,46.0,42.0,D,4.0
AZ,May,2020,44.0,45.0,R,1.0
AZ,May,2020,45.0,47.0,R,2.0
AZ,May,2020,46.0,46.0,E,0.0
AZ,May,2020,47.0,45.0,D,2.0
AZ,May,2020,45.0,41.0,D,4.0
AZ,May,2020,50.0,43.0,D,7.0
AZ,May,2020,45.0,47.0,R,2.0
AZ,Apr,2020,47.0,46.0,D,1.0
AZ,Apr,2020,52.0,43.0,D,9.0
AZ,Mar,2020,47.0,46.0,D,1.0
AZ,Mar,2020,46.0,43.0,D,3.0
AZ,Mar,2020,50.0,42.0,D,8.0
AZ,Mar,2020,49.0,43.0,D,6.0
AZ,Mar,2020,47.0,46.0,D,1.0
AZ,Feb,2020,42.0,46.0,R,4.0
AZ,Jan,2020,45.0,50.0,R,5.0
AZ,Jan,2020,46.0,46.0,E,0.0
AZ,Dec,2019,44.0,46.0,R,2.0
AZ,Oct,2019,50.0,50.0,E,0.0
AZ,Oct,2019,49.0,46.0,D,3.0
AZ,Sep,2019,42.0,43.0,R,1.0
AZ,Aug,2019,45.0,43.0,D,2.0
AZ,Jul,2019,45.0,50.0,R,5.0
AZ,May,2019,49.0,44.0,D,5.0
AZ,Feb,2019,46.0,46.0,E,0.0
AR,Nov,2020,38.0,61.0,R,23.0
