state,dem_percentage,gop_percentage,winner,margin_percentage,2020_results_margin
AL,36.57,62.03,R,25.46,25.46
AK,42.77,52.83,R,10.06,10.06
AZ,49.36,49.06,D,0.31,-0.31
AR,34.78,62.4,R,27.62,27.62
CA,63.48,34.32,D,29.16,-29.16
CO,55.4,41.9,D,13.5,-13.5
CT,59.26,39.19,D,20.07,-20.07
DE,58.74,39.77,D,18.97,-18.97
DC,92.15,5.4,D,86.75,-86.75
FL,47.86,51.22,R,3.36,3.36
GA,49.47,49.24,D,0.24,-0.24
HI,63.73,34.27,D,29.46,-29.46
ID,33.07,63.84,R,30.77,30.77
IL,57.54,40.55,D,16.99,-16.99
IN,40.96,57.03,R,16.07,16.07
IA,44.89,53.09,R,8.2,8.2
KS,41.51,56.14,R,14.64,14.64
KY,36.15,62.09,R,25.94,25.94
LA,39.85,58.46,R,18.61,18.61
ME,53.09,44.02,D,9.07,-9.07
MD,65.36,32.15,D,33.21,-33.21
MA,65.6,32.14,D,33.46,-33.46
MI,50.62,47.84,D,2.78,-2.78
MN,52.4,45.28,D,7.11,-7.11
MS,41.06,57.6,R,16.55,16.55
MO,41.41,56.8,R,15.39,15.39
MT,40.55,56.92,R,16.37,16.37
NE,39.17,58.22,R,19.06,19.06
NV,50.06,47.67,D,2.39,-2.39
NH,52.71,45.36,D,7.35,-7.35
NJ,57.33,41.4,D,15.94,-15.94
NM,54.29,43.5,D,10.79,-10.79
NY,60.87,37.74,D,23.13,-23.13
NC,48.59,49.93,R,1.35,1.35
ND,31.78,65.12,R,33.34,33.34
OH,45.24,53.27,R,8.03,8.03
OK,32.29,65.37,R,33.09,33.09
OR,56.45,40.37,D,16.08,-16.08
PA,49.85,48.69,D,1.16,-1.16
RI,59.39,38.61,D,20.77,-20.77
SC,43.43,55.11,R,11.68,11.68
SD,35.61,61.77,R,26.16,26.16
TN,37.45,60.66,R,23.21,23.21
TX,46.48,52.06,R,5.58,5.58
UT,37.65,58.13,R,20.48,20.48
VT,66.09,30.67,D,35.41,-35.41
VA,54.11,44.0,D,10.11,-10.11
WA,57.97,38.77,D,19.2,-19.2
WV,29.69,68.62,R,38.93,38.93
WI,49.45,48.82,D,0.63,-0.63
WY,26.55,69.94,R,43.38,43.38
