,disposable_personal_income,GDP,IRPD,disposable_personal_income_capita,PCE_capita,personal_income_capita,personal_consumption_expenditure,personal_income,real_GDP_2012,real_PCE_2012,real_per_capita_PCE,real_per_capita_personal_income,real_personal_income,RPPs,total_employment
AL,211949.4,230892.1,99.27,42181.0,35244.0,46179.0,177093.9,232040.3,199880.8,177776.9,36122.0,46963.0,231128.3,89.252,2671253.0
AK,42437.8,50475.2,114.827,57940.0,48921.0,62756.0,35831.5,45965.1,50705.2,31034.2,42445.0,55470.0,40557.5,103.239,430824.0
AZ,339835.8,382072.3,110.192,47344.0,40237.0,52327.0,288818.8,375601.3,327178.0,260537.2,35106.0,45193.0,335393.2,99.071,3920036.0
AR,129873.4,133969.1,99.191,43115.0,34786.0,47154.0,104782.9,142038.5,117268.2,105340.8,34760.0,47765.0,144752.4,89.181,1640442.0
CA,2403799.4,3020173.4,122.769,60856.0,46802.0,70647.0,1848651.7,2790523.5,2667220.9,1495470.9,37987.0,57347.0,2257635.2,110.38,23155486.0
CO,333477.3,391263.3,114.412,57652.0,47072.0,65358.0,272276.5,378051.4,353345.2,236760.8,40767.0,55911.0,324716.0,102.866,3821923.0
CT,241345.9,276223.3,115.05,67036.0,50018.0,78463.0,180077.0,282486.1,235234.9,155937.1,43839.0,68533.0,243771.5,103.439,2217497.0
DE,49416.5,75818.6,108.858,49821.0,45481.0,56324.0,45112.3,55866.8,62281.8,41186.1,41737.0,51689.0,51006.8,97.872,592045.0
DC,52510.2,144720.0,123.97,76091.0,69170.0,89735.0,47733.5,61925.5,122485.3,37471.6,52568.0,70040.0,49925.8,111.459,865878.0
FL,1111276.3,1116726.8,112.016,51520.0,44269.0,57292.0,954880.3,1235793.4,950164.4,846225.4,38937.0,49853.0,1083474.6,100.711,12720098.0
GA,500696.2,625425.7,105.153,46681.0,38253.0,51987.0,410296.0,557601.2,537615.8,388721.0,36295.0,49392.0,528986.8,94.541,6326942.0
HI,74141.3,82535.5,124.555,51065.0,44102.0,57241.0,64031.5,83109.5,70109.4,50923.3,36193.0,47234.0,66458.6,111.985,817748.0
ID,82766.5,85927.8,101.433,44793.0,35232.0,49491.0,65101.0,91448.5,75145.5,63865.6,34958.0,48216.0,88085.7,91.196,1078122.0
