OBJECTID,STATENS,GEOID,STUSPS,NAME,B01001_calc_PopDensity
1,1779775,1,AL,Alabama,37.08568922
2,1785533,2,AK,Alaska,0.499388813
3,1779777,4,AZ,Arizona,23.61223389
4,68085,5,AR,Arkansas,22.1911109
5,1779778,6,CA,California,97.02200391
6,1779779,8,CO,Colorado,20.60607039
7,1779780,9,CT,Connecticut,285.5495186
8,1779781,10,DE,Delaware,188.1706285
9,1702382,11,DC,District of Columbia,4322.952569
10,294478,12,FL,Florida,148.2422961
11,1705317,13,GA,Georgia,68.88776354
12,1779782,15,HI,Hawaii,85.48934942
13,1779783,16,ID,Idaho,7.885123449
14,1779784,17,IL,Illinois,89.17406024
15,448508,18,IN,Indiana,71.5322328
16,1779785,19,IA,Iowa,21.65402698
17,481813,20,KS,Kansas,13.73649394
18,1779786,21,KY,Kentucky,43.41245709
19,1629543,22,LA,Louisiana,41.67753584
20,1779787,23,ME,Maine,16.68363929
21,1714934,24,MD,Maryland,238.6947264
22,606926,25,MA,Massachusetts,338.0425945
23,1779789,26,MI,Michigan,67.92239612
24,662849,27,MN,Minnesota,26.80204832
25,1779790,28,MS,Mississippi,24.59207972
26,1779791,29,MO,Missouri,34.20406943
27,767982,30,MT,Montana,2.763487987
28,1779792,31,NE,Nebraska,9.573743424
29,1779793,32,NV,Nevada,10.27979486
30,1779794,33,NH,New Hampshire,57.94118162
31,1779795,34,NJ,New Jersey,466.2917967
32,897535,35,NM,New Mexico,6.659639077
33,1779796,36,NY,New York,160.7422341
34,1027616,37,NC,North Carolina,80.64905608
35,1779797,38,ND,North Dakota,4.209117432
36,1085497,39,OH,Ohio,110.0066326
37,1102857,40,OK,Oklahoma,22.0537683
38,1155107,41,OR,Oregon,16.41926056
39,1779798,42,PA,Pennsylvania,110.3787596
40,1219835,44,RI,Rhode Island,394.5847077
41,1779799,45,SC,South Carolina,63.64772604
42,1785534,46,SD,South Dakota,4.401845102
43,1325873,47,TN,Tennessee,62.27452344
44,1779801,48,TX,Texas,41.21046967
45,1455989,49,UT,Utah,14.30505918
46,1779802,50,VT,Vermont,26.17795066
47,1779803,51,VA,Virginia,82.28008837
48,1779804,53,WA,Washington,42.38118824
49,1779805,54,WV,West Virginia,29.37461956
50,1779806,55,WI,Wisconsin,41.18891128
51,1779807,56,WY,Wyoming,2.313844615
52,1779808,72,PR,Puerto Rico,381.8898078
