STUSPS,NAME,LSAD,POP_DENSITY,total_population_white,total_population_white_moe,total_population_black,total_population_black_moe,total_population_american_indian,total_population_american_indian_moe,total_population_asian,total_population_asian_moe,total_population_native_hawaiian,total_population_native_hawaiian_moe,total_population_other_race,total_population_other_race_moe,total_population_multiple_races,total_population_multiple_races_moe,total_population_not_hispanic,total_population_not_hispanic_moe,total_population_hispanic,total_population_hispanic_moe
AL,Alabama,0,37.17385192,3320247,3020,1299048,2738,25565,1231,66270,1204,2238,544,70662,3100,92220,2835,4667624,582,208626,582
AK,Alaska,0,0.498380228,476015,1779,24205,833,109751,1660,45920,871,9204,413,11308,1624,60665,2426,685198,128,51870,128
AZ,Arizona,0,23.95125775,5444453,12269,317462,3182,317414,3669,233213,2400,14458,709,460262,9813,263037,6107,4841636,0,2208663,0
AR,Arkansas,0,22.25438573,2301044,3155,459542,1941,20434,1200,45504,1017,8733,714,83576,3318,80537,2773,2775240,236,224130,236
CA,California,0,97.3182589,23453222,32004,2274108,7427,303998,6578,5692423,9078,155290,2609,5481792,37739,1922664,25591,23955809,0,15327688,0
CO,Colorado,0,20.90139187,4712574,6392,233647,2659,54847,2221,178147,2100,8643,719,216767,5862,205724,4667,4402177,407,1208172,407
CT,Connecticut,0,285.0368544,2714031,5704,383416,3374,9955,905,161257,1513,1123,277,186292,5675,119000,4973,3000834,0,574240,0
DE,Delaware,0,189.6810112,658237,1765,212302,1643,3729,533,37009,738,542,297,18350,1545,27079,1895,868884,0,88364,0
DC,District of Columbia,0,4374.645057,285857,1829,320811,1445,2091,501,27592,672,376,77,34511,2081,21445,1418,616492,0,76191,0
FL,Florida,0,150.4284449,15702256,12602,3359031,8106,59320,2957,571276,3365,12653,909,625079,12046,572021,11130,15554952,317,5346684,317
GA,Georgia,0,69.59811717,6098889,7850,3289020,6416,37440,2491,414481,2692,6233,790,291872,7800,265912,6099,9411453,478,992394,479
