state,rate,rank,code
Alabama,2.7,9,AL
Alaska,4.5,48,AK
Arizona,4.1,37,AZ
Arkansas,3.7,29,AR
California,4.1,37,CA
Colorado,3.5,25,CO
Connecticut,4.2,41,CT
Delaware,4.4,46,DE
District of Columbia,4.6,49,DC
Florida,2.6,7,FL
Georgia,3,14,GA
Hawaii,3.3,18,HI
Idaho,3,14,ID
Illinois,4.7,50,IL
Indiana,3,14,IN
Iowa,3.1,17,IA
Kansas,2.8,11,KS
Kentucky,4,33,KY
Louisiana,3.3,18,LA
Maine,3.7,29,ME
Maryland,4.3,43,MD
Massachusetts,3.4,22,MA
Michigan,4.3,43,MI
Minnesota,2.3,2,MN
Mississippi,3.9,31,MS
Missouri,2.7,9,MO
Montana,2.9,13,MT
Nebraska,2.5,5,NE
Nevada,4.9,51,NV
New Hampshire,2.6,7,NH
New Jersey,3.4,22,NJ
New Mexico,4.1,37,NM
New York,4.3,43,NY
North Carolina,3.9,31,NC
North Dakota,2.3,2,ND
Ohio,4.2,41,OH
Oklahoma,3.4,22,OK
Oregon,4.4,46,OR
Pennsylvania,4,33,PA
Rhode Island,3.6,27,RI
South Carolina,3.3,18,SC
South Dakota,2.4,4,SD
Tennessee,3.5,25,TN
Texas,4,33,TX
Utah,2.2,1,UT
Vermont,2.5,5,VT
Virginia,2.8,11,VA
Washington,4,33,WA
West Virginia,4.1,37,WV
Wisconsin,3.3,18,WI
Wyoming,3.6,27,WY
