OBJECTID,STATENS,GEOID,STUSPS,NAME,ALAND,AWATER,B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B01001_001E,B01001_001M,B01001_calc_PopDensity,created_user,created_date,last_edited_user,last_edited_date,B01001_calc_PopDensityM,SHAPE_Length,SHAPE_Area
1,01779775,01,AL,Alabama,131174048583,4593327154,2.55,0.01,2.6,0.02,2.45,0.02,4864680,,37.085689223977,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,18.9333185517549,12.8925460541056
2,01785533,02,AK,Alaska,1478839695958,245481577452,2.81,0.03,2.92,0.02,2.61,0.04,738516,,0.499388812741861,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,437.197604060862,282.096958130636
3,01779777,04,AZ,Arizona,294198551143,1027337603,2.69,0.01,2.7,0.03,2.68,0.01,6946685,,23.6122338910617,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,23.8948414586843,28.9179175030548
4,00068085,05,AR,Arkansas,134768872727,2962859592,2.52,0.01,2.57,0.01,2.43,0.02,2990671,,22.1911108958978,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,22.0939053696752,13.5853885332159
5,01779778,06,CA,California,403503931312,20463871877,2.96,0.02,3.01,0.03,2.9,0.03,39148760,,97.0220039063985,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,42.5872524171197,41.6687359778153
6,01779779,08,CO,Colorado,268422891711,1181621593,2.56,0.01,2.64,0.01,2.41,0.01,5531141,,20.6060703867059,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,22.0242315486413,28.0397659041687
7,01779780,09,CT,Connecticut,12542497068,1815617571,2.54,0.03,2.66,0.03,2.3,0.02,3581504,,285.549518615203,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,6.22310541142148,1.39628072991218
8,01779781,10,DE,Delaware,5045925646,1399985648,2.58,0.02,2.61,0.02,2.51,0.04,949495,,188.170628465896,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,4.67162913472449,0.545511857351966
9,01702382,11,DC,District of Columbia,158340391,18687198,2.29,0.01,2.43,0.03,2.2,0.03,684498,,4322.95256868476,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,0.684594836003703,0.0183837219324408
10,00294478,12,FL,Florida,138949136250,31361101223,2.65,0.03,2.63,0.03,2.68,0.01,20598139,,148.242296108552,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,39.5978045276681,13.8862823648616
11,01705317,13,GA,Georgia,149482048342,4422936154,2.71,0.03,2.75,0.01,2.63,0.02,10297484,,68.8877635422842,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,21.4853431905829,14.6703789023515
12,01779782,15,HI,Hawaii,16633990195,11777809026,3.02,0.02,3.15,0.03,2.84,0.03,1422029,,85.489349418244,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,14.0854992179266,1.44529367988977
13,01779783,16,ID,Idaho,214049787659,2391722557,2.68,0.01,2.73,0.02,2.57,0.03,1687809,,7.88512344935762,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,31.2426426665554,24.456619584613
14,01779784,17,IL,Illinois,143780567633,6214824948,2.59,0.01,2.7,0.01,2.39,0.02,12821497,,89.1740602438494,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,21.5253196960412,15.4078883191885
15,00448508,18,IN,Indiana,92789302676,1538002829,2.53,0.03,2.61,0.01,2.34,0.02,6637426,,71.5322327960201,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,17.284632901779,9.87381167137403
16,01779785,19,IA,Iowa,144661267977,1084180812,2.41,0.01,2.51,0.02,2.18,0.02,3132499,,21.6540269818321,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,20.7718492972972,15.8575885904659
17,00481813,20,KS,Kansas,211755344060,1344141205,2.52,0.03,2.62,0.02,2.3,0.02,2908776,,13.7364939379089,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,21.4258156705789,22.0047252197823
18,01779786,21,KY,Kentucky,102279490672,2375337755,2.49,0.01,2.55,0.01,2.37,0.02,4440204,,43.4124570901442,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,22.847413340513,10.6680684260448
19,01629543,22,LA,Louisiana,111897594374,23753621895,2.61,0.01,2.68,0.03,2.49,0.02,4663616,,41.6775358406062,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,35.5659756381557,11.5816355139032
20,01779787,23,ME,Maine,79887426037,11746549764,2.33,0.02,2.44,0.01,2.03,0.02,1332813,,16.6836392924051,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,27.8390026630017,9.76926217787924
21,01714934,24,MD,Maryland,25151100280,6979966958,2.67,0.01,2.75,0.01,2.51,0.01,6003435,,238.694726400256,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,24.5122747815147,2.81476317423752
22,00606926,25,MA,Massachusetts,20205125364,7129925486,2.53,0.01,2.69,0.01,2.26,0.02,6830193,,338.042594487908,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,15.9803819055959,2.32503710373384
23,01779789,26,MI,Michigan,146600952990,103885855702,2.49,0.01,2.57,0.01,2.28,0.01,9957488,,67.9223961162055,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,51.3733218726682,17.0807032975216
