"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,2020
00000,United States,,Real dollar statistics,
00000,United States,1,"  Real GDP (millions of chained 2012 dollars) 1/",18509143.0
00000,United States,2,"  Real personal income (millions of constant (2012) dollars) 2/",17628679.9
00000,United States,3,"  Real PCE (millions of constant (2012) dollars) 3/",12629896.7
00000,United States,,Current dollar statistics (millions of dollars),
00000,United States,4,"  Gross domestic product (GDP)",21060474.0
00000,United States,5,"  Personal income",19812171.0
00000,United States,6,"  Disposable personal income",17577865.0
00000,United States,7,"  Personal consumption expenditures",14116165.7
00000,United States,,Real per capita dollar statistics (constant 2012 dollars),
00000,United States,8,"  Real per capita personal income 4/",53504
00000,United States,9,"  Real per capita PCE 5/",38332
00000,United States,,Per capita current dollar statistics,
00000,United States,10,"  Per capita personal income 6/",59765
00000,United States,11,"  Per capita disposable personal income 7/",53025
00000,United States,12,"  Per capita personal consumption expenditures (PCE) 8/",42583
00000,United States,,Price indexes,
00000,United States,13,"  Regional price parities (RPPs) 9/",100.000
00000,United States,14,"  Implicit regional price deflator 10/",(NA)
00000,United States,,Employment,
00000,United States,15,"  Total employment (number of jobs)",195301600
01000,Alabama,,Real dollar statistics,
01000,Alabama,1,"  Real GDP (millions of chained 2012 dollars) 1/",199880.8
01000,Alabama,2,"  Real personal income (millions of constant (2012) dollars) 2/",231128.3
01000,Alabama,3,"  Real PCE (millions of constant (2012) dollars) 3/",177776.9
01000,Alabama,,Current dollar statistics (millions of dollars),
01000,Alabama,4,"  Gross domestic product (GDP)",230892.1
01000,Alabama,5,"  Personal income",232040.3
01000,Alabama,6,"  Disposable personal income",211949.4
01000,Alabama,7,"  Personal consumption expenditures",177093.9
01000,Alabama,,Real per capita dollar statistics (constant 2012 dollars),
01000,Alabama,8,"  Real per capita personal income 4/",46963
01000,Alabama,9,"  Real per capita PCE 5/",36122
01000,Alabama,,Per capita current dollar statistics,
01000,Alabama,10,"  Per capita personal income 6/",46179
01000,Alabama,11,"  Per capita disposable personal income 7/",42181
01000,Alabama,12,"  Per capita personal consumption expenditures (PCE) 8/",35244
01000,Alabama,,Price indexes,
01000,Alabama,13,"  Regional price parities (RPPs) 9/",89.252
01000,Alabama,14,"  Implicit regional price deflator 10/",99.270
01000,Alabama,,Employment,
01000,Alabama,15,"  Total employment (number of jobs)",2671253
02000,Alaska,,Real dollar statistics,
02000,Alaska,1,"  Real GDP (millions of chained 2012 dollars) 1/",50705.2
02000,Alaska,2,"  Real personal income (millions of constant (2012) dollars) 2/",40557.5
02000,Alaska,3,"  Real PCE (millions of constant (2012) dollars) 3/",31034.2
02000,Alaska,,Current dollar statistics (millions of dollars),
02000,Alaska,4,"  Gross domestic product (GDP)",50475.2
02000,Alaska,5,"  Personal income",45965.1
02000,Alaska,6,"  Disposable personal income",42437.8
02000,Alaska,7,"  Personal consumption expenditures",35831.5
02000,Alaska,,Real per capita dollar statistics (constant 2012 dollars),
02000,Alaska,8,"  Real per capita personal income 4/",55470
02000,Alaska,9,"  Real per capita PCE 5/",42445
02000,Alaska,,Per capita current dollar statistics,
02000,Alaska,10,"  Per capita personal income 6/",62756
02000,Alaska,11,"  Per capita disposable personal income 7/",57940
02000,Alaska,12,"  Per capita personal consumption expenditures (PCE) 8/",48921
02000,Alaska,,Price indexes,
02000,Alaska,13,"  Regional price parities (RPPs) 9/",103.239
02000,Alaska,14,"  Implicit regional price deflator 10/",114.827
02000,Alaska,,Employment,
02000,Alaska,15,"  Total employment (number of jobs)",430824
04000,Arizona,,Real dollar statistics,
04000,Arizona,1,"  Real GDP (millions of chained 2012 dollars) 1/",327178.0
04000,Arizona,2,"  Real personal income (millions of constant (2012) dollars) 2/",335393.2
04000,Arizona,3,"  Real PCE (millions of constant (2012) dollars) 3/",260537.2
04000,Arizona,,Current dollar statistics (millions of dollars),
04000,Arizona,4,"  Gross domestic product (GDP)",382072.3
04000,Arizona,5,"  Personal income",375601.3
04000,Arizona,6,"  Disposable personal income",339835.8
04000,Arizona,7,"  Personal consumption expenditures",288818.8
04000,Arizona,,Real per capita dollar statistics (constant 2012 dollars),
04000,Arizona,8,"  Real per capita personal income 4/",45193
04000,Arizona,9,"  Real per capita PCE 5/",35106
04000,Arizona,,Per capita current dollar statistics,
04000,Arizona,10,"  Per capita personal income 6/",52327
04000,Arizona,11,"  Per capita disposable personal income 7/",47344
04000,Arizona,12,"  Per capita personal consumption expenditures (PCE) 8/",40237
04000,Arizona,,Price indexes,
04000,Arizona,13,"  Regional price parities (RPPs) 9/",99.071
04000,Arizona,14,"  Implicit regional price deflator 10/",110.192
04000,Arizona,,Employment,
04000,Arizona,15,"  Total employment (number of jobs)",3920036
05000,Arkansas,,Real dollar statistics,
05000,Arkansas,1,"  Real GDP (millions of chained 2012 dollars) 1/",117268.2
05000,Arkansas,2,"  Real personal income (millions of constant (2012) dollars) 2/",144752.4
05000,Arkansas,3,"  Real PCE (millions of constant (2012) dollars) 3/",105340.8
05000,Arkansas,,Current dollar statistics (millions of dollars),
05000,Arkansas,4,"  Gross domestic product (GDP)",133969.1
05000,Arkansas,5,"  Personal income",142038.5
05000,Arkansas,6,"  Disposable personal income",129873.4
05000,Arkansas,7,"  Personal consumption expenditures",104782.9
