OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B03001_002E,B03001_002M,B03001_003E,B03001_003M,DP05_0077PE,DP05_0082PM,DP05_0071PM,DP05_0071PE,DP05_0083PM,DP05_0077PM,DP05_0078PE,DP05_0078PM,DP05_0079PE,DP05_0079PM,DP05_0080PE,DP05_0080PM,DP05_0081PE,DP05_0081PM,DP05_0082PE,DP05_0083PE,SHAPE_Length,SHAPE_Area
1,01,01779775,0400000US01,01,AL,Alabama,00,131174192284,4593183334,37.1738519223555,3320247,3020,1299048,2738,25565,1231,66270,1204,2238,544,70662,3100,92220,2835,4667624,582,208626,582,65.5,0.1,0.1,4.3,0.1,0.1,26.5,0.1,0.5,0.1,1.3,0.1,0,0.1,0.2,1.7,18.985613862584,12.8918664924947
2,02,01785533,0400000US02,02,AK,Alaska,00,1478927050067,245394222619,0.498380227724287,476015,1779,24205,833,109751,1660,45920,871,9204,413,11308,1624,60665,2426,685198,128,51870,128,60.6,0.1,0.1,7,0.3,0.1,3.1,0.1,14.4,0.2,6.1,0.1,1.2,0.1,0.2,7.3,566.659984070257,282.010908824114
3,04,01779777,0400000US04,04,AZ,Arizona,00,294360282618,859561204,23.9512577488227,5444453,12269,317462,3182,317414,3669,233213,2400,14458,709,460262,9813,263037,6107,4841636,0,2208663,0,54.7,0.1,,31.3,0.1,0.1,4.2,0.1,3.9,0.1,3.2,0.1,0.2,0.1,0.2,2.3,23.8419076475496,28.9192200324067
4,05,00068085,0400000US05,05,AR,Arkansas,00,134776580080,2956395922,22.2543857265086,2301044,3155,459542,1941,20434,1200,45504,1017,8733,714,83576,3318,80537,2773,2775240,236,224130,236,72.4,0.1,0.1,7.5,0.1,0.1,15.2,0.1,0.6,0.1,1.5,0.1,0.3,0.1,0.2,2.3,21.8590555111028,13.5854485313068
5,06,01779778,0400000US06,06,CA,California,00,403660088482,20305454540,97.3182589037453,23453222,32004,2274108,7427,303998,6578,5692423,9078,155290,2609,5481792,37739,1922664,25591,23955809,0,15327688,0,37.2,0.1,,39,0.1,0.1,5.5,0.1,0.4,0.1,14.3,0.1,0.4,0.1,0.3,3,44.117752191612,41.6682732257058
6,08,01779779,0400000US08,08,CO,Colorado,00,268419875371,1184637800,20.9013918669234,4712574,6392,233647,2659,54847,2221,178147,2100,8643,719,216767,5862,205724,4667,4402177,407,1208172,407,68.1,0.1,0.1,21.5,0.1,0.1,3.9,0.1,0.5,0.1,3.1,0.1,0.1,0.1,0.2,2.5,22.0191992569839,28.0392507092187
7,09,01779780,0400000US09,09,CT,Connecticut,00,12542497381,1815617293,285.036854415908,2714031,5704,383416,3374,9955,905,161257,1513,1123,277,186292,5675,119000,4973,3000834,0,574240,0,66.9,0.1,,16.1,0.1,0.1,9.9,0.1,0.2,0.1,4.5,0.1,0,0.1,0.3,2.1,6.70657239991317,1.39667886755957
8,10,01779781,0400000US10,10,DE,Delaware,00,5046620081,1399291164,189.681011178935,658237,1765,212302,1643,3729,533,37009,738,542,297,18350,1545,27079,1895,868884,0,88364,0,62.3,0.1,,9.2,0.2,0.1,21.7,0.2,0.3,0.1,3.8,0.1,0,0.1,0.3,2.4,4.28507841416186,0.541590070211902
9,11,01702382,0400000US11,11,DC,District of Columbia,00,158340389,18687196,4374.6450566065,285857,1829,320811,1445,2091,501,27592,672,376,77,34511,2081,21445,1418,616492,0,76191,0,36.6,0.1,,11,0.2,0.1,45.4,0.2,0.2,0.1,3.9,0.1,0,0.1,0.4,2.4,0.645734240135623,0.0183735483200566
10,12,00294478,0400000US12,12,FL,Florida,00,138947364717,31362872853,150.428444919206,15702256,12602,3359031,8106,59320,2957,571276,3365,12653,909,625079,12046,572021,11130,15554952,317,5346684,317,53.9,0.1,0.1,25.6,0.1,0.1,15.3,0.1,0.2,0.1,2.7,0.1,0,0.1,0.4,1.9,43.6490956624589,13.9348483900936
11,13,01705317,0400000US13,13,GA,Georgia,00,149484604230,4420380296,69.5981171679221,6098889,7850,3289020,6416,37440,2491,414481,2692,6233,790,291872,7800,265912,6099,9411453,478,992394,479,52.7,0.1,0.1,9.5,0.1,0.1,31.2,0.1,0.2,0.1,3.9,0.1,0,0.1,0.3,2,20.697519950491,14.6684616011691
12,15,01779782,0400000US15,15,HI,Hawaii,00,16634006436,11777792811,85.4931736062243,354847,1712,26025,1020,3710,566,537355,3767,142997,2386,17433,1823,339727,4712,1272976,0,149118,0,22,0.1,,10.5,0.3,0.1,1.7,0.1,0.2,0.1,36.9,0.3,9.4,0.1,0.2,19.2,14.6190104901806,1.44826328590201
13,16,01779783,0400000US16,16,ID,Idaho,00,214049897859,2391604238,8.02499798963476,1545409,3320,11918,948,23136,1168,24287,1026,2755,376,59676,2665,50569,2251,1502274,0,215476,0,82,0.1,,12.5,0.1,0.1,0.7,0.1,1.1,0.1,1.3,0.1,0.1,0.1,0.1,2.2,30.7882177579954,24.4564610023327
